ID,Strike,VerticalOrientation,VerticalValue,VerticalYinYang,HorizontalOrientation,HorizontalValue,HorizontalYinYang,OverallYinYang,OverallOrientation
73,Phoenix Dodge - Open,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
74,Phoenix Dodge - Whirl,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
75,Phoenix Dodge - Arc,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
76,Phoenix Extend - Horizontal,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
77,Phoenix Extend - Drop,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
78,Phoenix Extend - Inside,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
79,Phoenix Chop - Upright,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
80,Phoenix Chop - Arc,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
81,Phoenix Chop - Swing,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
82,Phoenix Shock - Pull,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
83,Phoenix Shock - Whip,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
84,Phoenix Shock - Upright,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
85,Phoenix Transform - Flow,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
86,Phoenix Transform - Force,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
87,Phoenix Transform - Roll,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
88,Phoenix Remove - Flow,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
89,Phoenix Remove - Drop,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
90,Phoenix Remove - Press,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
91,Phoenix CurlingIn - BodyCurlIn,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
92,Phoenix CurlingIn - ElbowCurlIn,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
93,Phoenix CurlingIn - FistCurlIn,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
94,Phoenix Stab - Penetrate,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
95,Phoenix Stab - Hooked,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
96,Phoenix Stab - Enter,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
97,Rooster Dodging - Whirling Body,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
98,Rooster Dodging - Moving With the Force,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
99,Rooster Dodging - Lying,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
100,Rooster Extending - Covering,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
101,Rooster Extending - Wiping,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
102,Rooster Extending - Whirling,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
103,Rooster Rising - Lying,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
104,Rooster Rising - Single Hand,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
105,Rooster Rising - Whirling,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
106,Rooster Shifting - Whirling,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
107,Rooster Shifting - Closing,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
108,Rooster Shifting - Grinding,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
109,Rooster Entering - Wiping,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
110,Rooster Entering - Dodging,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
111,Rooster Entering - Fist,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
112,Rooster Whipping - Whisking,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
113,Rooster Whipping - Wiping,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
114,Rooster Whipping - Thrashing,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
115,Rooster Rushing - Shifting,Down,2,Yin,In,2,Yin,YinYin,Vertical Down - Horizontal In
116,Rooster Rushing - Rising,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
117,Rooster Rushing - Lying,Down,2,Yin,Out,3,Yang,YinYang,Vertical Down - Horizontal Out
118,Rooster Piercing - Whirling,Up,3,Yang,In,2,Yin,YangYin,Vertical Up - Horizontal In
119,Rooster Piercing - Whipping,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
120,Rooster Piercing - Wiping,Up,3,Yang,Out,3,Yang,YangYang,Vertical Up - Horizontal Out
